participant_id,d_prime,d_prime_ci_low,d_prime_ci_high,d_prime_ci_excludes_zero
5484949efdf99b0379939cc6,3.772898861136456,1.9925584604801134,5.553239261792799,TRUE
566a19b57da035000fb39b89,3.8923034458149655,2.568032268211023,5.216574623418908,TRUE
59347d4f53490b0001563e47,2.61648868906933,1.6587587003522064,3.5742186777864537,TRUE
5977466b68264c0001c49088,1.8210702188946464,0.9270446377350318,2.715095800054261,TRUE
59e7a66e62637600014a7d69,2.4594509762295518,1.2017733969887407,3.717128555470363,TRUE
5acc2d21436f550001003111,3.039678757902565,1.8946232527142333,4.184734263090897,TRUE
5af1c4dfaec2b600010a96c9,2.633253805475262,1.527757205698522,3.7387504052520018,TRUE
5afa19a4f856320001cf920f,3.989675453177899,2.3101803625762996,5.669170543779498,TRUE
5c005838232b6c0001221acf,2.9096373583774224,2.040554508021051,3.7787202087337937,TRUE
5c01d3c509e9c70001500b10,2.9301867240639474,1.892241054319193,3.968132393808702,TRUE
5c4d1a6c9ce35100019dbc88,2.7400003159847923,1.3733346523793433,4.106665979590241,TRUE
5cec5f7afdd26c00193ba64b,2.724248173353606,1.6508559780864078,3.797640368620804,TRUE
5d093f05c79e5a0016796b18,3.6192867299449576,2.597207210718948,4.641366249170967,TRUE
5d2a7c01b866ef0015b8e0a1,3.954709280757747,2.6539134784518317,5.255505083063662,TRUE
5dd1df8fb48da3240ca85c45,4.3642936278737,3.6179911209245326,5.110596134822867,TRUE
5dd5b42a2091e95798fbf574,3.432391668831097,1.99939697644685,4.865386361215345,TRUE
5e076480c4e1550e2114f006,2.957439092317681,1.7910429941070702,4.1238351905282915,TRUE
5e2b4e61a7f804000a55eee7,3.8455131980103383,2.479674538718175,5.2113518573025015,TRUE
5e8bbb3680cbf20986c677e1,3.4083596010329567,1.9148274497647275,4.901891752301186,TRUE
5ecaf0fa5c1f7f6599d959ff,3.8818180680047933,2.166978779884316,5.59665735612527,TRUE
5eea9a9ea8d6d71ba912a73e,3.620661595094095,2.1969576337657437,5.044365556422447,TRUE
5f1db570f7e0002b7eb1c1dd,4.065976745037814,2.412884986168601,5.719068503907026,TRUE
5f4738bfa043201203a27b4b,4.05065422754233,2.3953578573927863,5.7059505976918725,TRUE
60085c96f16b701cbdced9a4,4.136025413393393,2.8480976000443516,5.4239532267424355,TRUE
6011e981dff6371dacac9ec5,3.6965247283845057,2.313270341914748,5.079779114854263,TRUE
606cf604adbb6982bb382881,2.8777610709513564,2.04274023027952,3.7127819116231926,TRUE
607668ac450fc6e3025a131d,3.5758833853957714,2.3091673060258833,4.84259946476566,TRUE
60a2a8570a0f9cc00d6b9d1a,2.7134359510038837,1.7726758252822725,3.654196076725495,TRUE
60c770aa2d2928bfda4c7cd4,-0.21787824047017956,-2.081015569044914,1.6452590881045552,FALSE
60da6f47359a9fc411cc8313,4.011837704898098,2.332124026054731,5.691551383741465,TRUE
60e0ccb2c3f51bd6f72f97f9,4.0848403323187075,2.794968271162373,5.374712393475042,TRUE
